Region,Year,Greenhouse gas emissions
South America,1985,12.079888
South America,1986,11.905169
South America,1987,11.437925
South America,1988,11.028349
South America,1989,10.705624
South America,1990,10.811609
South America,1991,11.023322
South America,1992,11.220126
South America,1993,11.2424345
South America,1994,12.568064
South America,1995,12.290957
South America,1996,11.882604
South America,1997,12.455308
South America,1998,13.192113
South America,1999,12.87302
South America,2000,11.985339
South America,2001,11.509509
South America,2002,12.301437
South America,2003,15.756841
South America,2004,13.470735
South America,2005,12.440906
South America,2006,11.714512
South America,2007,11.322777
South America,2008,10.725512
South America,2009,10.423893
South America,2010,10.2502985
South America,2011,10.323616
South America,2012,10.888324
South America,2013,10.602688
South America,2014,10.7466755
South America,2015,10.223173
South America,2016,9.739391
South America,2017,9.597096
South America,2018,9.469344
South America,2019,9.441108
South America,2020,9.278587
South America,2021,9.890444
South America,2022,10.090818
South America,2023,9.877732
South America,2024,9.801082
