Year,Region,Drought_gdp,Extreme temperature_gdp,Flood_gdp,Storm_gdp,Wildfire_gdp,Drought_affected,Extreme temperature_affected,Flood_affected,Storm_affected,Wildfire_affected,Drought_deaths,Extreme temperature_deaths,Flood_deaths,Storm_deaths,Wildfire_deaths,Greenhouse gas emissions,Yearly average,Yearly anomaly average,Period,Total_Deaths,Total_Affected,Total_GDP_Loss
1979,Asia,0.00204905186308903,0.0,0.0011288518062008155,0.0009143927183085238,0.00011269792358016498,13500000,0,28102100,2239033,30000,0,470,453,908,0,3.825429,19.867361416666665,-0.9565791116666668,1975-1999,1831,43871133,0.0042049943111785336
1979,Europe,0.0,0.0011651514640967752,0.0004675169323044782,0.0,0.0,0,0,61222,0,0,0,0,70,0,0,14.901877,8.202191250833334,-1.3497667425,1975-1999,70,61222,0.0016326683964012535
1979,North America,0.0,0.0,0.0003887380550871276,0.03896665542439573,0.0,0,0,398000,1653873,0,0,0,77,1637,0,21.348957,24.73924225,-1.0972217649999998,1975-1999,1714,2051873,0.03935539347948286
1979,Oceania,0.0,0.0,0.0,0.006327889564810482,0.0,0,0,0,41900,0,0,0,0,70,0,28.610132,24.165291583333335,-0.23501229275000002,1975-1999,70,41900,0.006327889564810482
1979,South America,0.0,0.0,0.0,0.0,0.0,5000000,0,1812000,0,0,0,0,362,0,0,12.22377,20.103810958333334,-0.5385219286666667,1975-1999,362,6812000,0.0
1980,Africa,0.0,0.0,0.0,0.008339993459777633,0.0,8495000,0,0,7000,0,0,0,0,25,0,4.67068,23.9488585,-0.5552186958333333,1975-1999,25,8502000,0.008339993459777633
1980,Asia,0.0,0.0,0.0063890110932018586,0.0011333554565279226,0.0,1002100,0,44571349,17558240,0,0,129,10101,1064,0,3.7114816,19.475029083333332,-0.8267861950000001,1975-1999,11294,63131689,0.007522366549729782
1980,Europe,0.01923974121373454,0.0,0.0,0.0,0.0,0,0,104313,0,0,0,0,7,0,0,15.015487,8.0510357475,-1.697310116666667,1975-1999,7,104313,0.01923974121373454
1980,North America,0.0,0.021396958965711074,0.004675236087689713,0.01711853007307476,0.0,103000,0,258350,1301086,5000,0,1260,141,257,0,20.729527,25.05064775,-0.5297067181666667,1975-1999,1658,1667436,0.04319072512647555
1980,Oceania,0.0,0.0,0.0,0.00040187178287318673,0.0,40000,0,2900,35250,0,0,0,0,18,0,30.151743,24.34550629166667,-0.3110472340441666,1975-1999,18,78150,0.00040187178287318673
1980,South America,0.0,0.0,0.0,0.0,0.0,0,0,362050,48,0,0,0,218,15,0,12.210322,20.241238833333334,-0.36018419583333333,1975-1999,233,362098,0.0
1981,Africa,0.0,0.0,0.00011281883584041857,0.02821860693263571,0.0,7330000,0,657235,119850,0,103000,0,177,107,0,4.394617,23.884946333333332,-0.7379860891666666,1975-1999,103284,8107085,0.028331425768476127
1981,Asia,0.0,0.0,0.021355039347681806,0.0019412368446003604,0.0,0,0,19893935,3410698,48588,0,300,4606,3528,8,3.584848,19.24002858333333,-0.5290278441666667,1975-1999,8442,23353221,0.023296276192282167
1981,Europe,0.016972611786905685,0.0,0.0,0.0029062708494793947,0.0,0,0,27800,10000,0,0,0,77,21,0,14.33393,8.45918573,-0.560075726,1975-1999,98,37800,0.01987888263638508
1981,North America,0.0,0.0,0.0,0.009502459246767847,0.0,0,0,150000,0,0,0,0,50,130,0,19.958776,24.650498916666667,0.1999825700833333,1975-1999,180,150000,0.009502459246767847
1981,Oceania,0.968640383715489,0.0,0.0018208703790360318,0.00019372952737482452,0.0,80000,0,2250,6700,0,0,0,2,4,0,28.228735,24.2074095,0.04954004385833333,1975-1999,6,88950,0.9706549836218998
