Year,Region,Drought,Extreme temperature,Flood,Storm,Wildfire
2001,Africa,12554558,0,2852576,5941,0
2001,Asia,17630000,202012,30184176,25712737,0
2001,Europe,0,6294,753023,12848,0
2001,North America,896596,1850,41573,6225503,1339
2001,Oceania,0,0,4001,18251,4400
2001,South America,1000000,3000,718995,16150,0
2002,Africa,5943435,0,1013989,645636,2250
2002,Asia,371510000,53724,164688275,109396460,422
2002,Europe,0,25062,1095518,125586,120
2002,North America,220000,0,491454,859824,23088
2002,Oceania,0,0,3301,18306,244
2002,South America,21500,25200,495968,117767,0
2003,Africa,15619500,0,1436730,217252,0
2003,Asia,51015000,200,167117221,10576723,300
2003,Europe,1062575,0,35636,77,153204
2003,North America,35000,0,296983,263102,27894
2003,Oceania,0,0,473,34595,2650
2003,South America,0,1839888,540479,900,285
2004,Africa,17779000,113,806738,1055108,777
2004,Asia,0,300,115097460,13978173,2155
2004,Europe,0,0,417979,19186,2100
2004,North America,137500,0,77519,6142483,15487
2004,Oceania,0,0,19570,89923,0
2004,South America,55000,2139467,563543,151790,0
2005,Africa,20714000,0,734409,14537,0
2005,Asia,8784000,1550,73140845,41584637,2140
2005,Europe,0,665,150796,411861,137
2005,North America,0,31,66521,7107621,1410
2005,Oceania,0,0,5893,1934,220
2005,South America,52990,0,964785,3794,3000
2006,Africa,3757000,0,2118615,89622,0
2006,Asia,20100000,100,27241414,66716979,200
2006,Europe,0,61654,131128,1802,0
2006,North America,0,0,117090,291631,2021
2006,Oceania,0,0,14924,9198,141
2006,South America,0,0,697557,0,0
2007,Africa,4067750,0,5057559,389016,3505
2007,Asia,0,103025,167529142,22480277,15
2007,Europe,210394,491,423783,9634,1005502
2007,North America,0,0,1873826,944474,650991
2007,Oceania,0,0,5900,163329,0
2007,South America,1000000,884572,4005072,0,125000
2008,Africa,17942500,0,1015523,762240,3048
2008,Asia,16080000,79170684,27718771,11129479,300
2008,Europe,0,500,245135,3956,0
2008,North America,0,0,11819228,3688189,55320
2008,Oceania,0,0,84385,12000,0
2008,South America,45500,0,4029419,55910,0
2009,Africa,20980000,0,2588355,155829,125
2009,Asia,62463000,819138,54631514,50181534,0
2009,Europe,0,10767,45084,2067,1040
2009,North America,2545000,0,199548,222808,455
2009,Oceania,0,2000,27706,19245,9954
2009,South America,307500,24262,2255176,3088,0
