date,tmax,tmin,tmed
07/1999,29.98,16.37,23.18
08/1999,28.27,15.68,21.98
09/1999,24.6,14.36,19.48
10/1999,20.39,11.88,16.14
11/1999,15.86,6.03,10.95
12/1999,13.43,5.87,9.65
01/2000,14.36,2.36,8.36
02/2000,16,6.7,11.35
03/2000,18.77,7.41,13.09
04/2000,15.18,8.15,11.66
05/2000,21.51,12.08,16.8
06/2000,27.79,14.76,21.27
07/2000,28.52,15.48,22
08/2000,29.47,15.73,22.6
09/2000,27.45,13.9,20.68
10/2000,21.08,10.39,15.73
11/2000,18.04,7.64,12.84
12/2000,14.14,8.04,11.09
01/2001,12.64,6.44,9.54
02/2001,15.37,5.98,10.68
03/2001,16.4,9.4,12.9
04/2001,19.05,8.44,13.75
05/2001,21.26,10.82,16.04
06/2001,27.7,14.24,20.97
07/2001,27.92,15.37,21.64
08/2001,31.34,16.06,23.7
09/2001,26.58,14.34,20.46
10/2001,20.68,12.64,16.66
11/2001,15.54,5.5,10.52
12/2001,11.77,3.35,7.56
01/2002,13.53,5.43,9.48
02/2002,15.5,5.58,10.54
03/2002,17.42,7.62,12.52
04/2002,19.49,8.16,13.82
05/2002,20.66,9.66,15.16
06/2002,26.85,13.68,20.27
07/2002,29.34,15.41,22.38
08/2002,28.72,14.8,21.76
09/2002,24.41,14.25,19.33
10/2002,21.05,12.47,16.76
11/2002,15.79,8.3,12.04
12/2002,14.16,6.05,10.11
01/2003,13.03,4.16,8.59
02/2003,12.83,4.55,8.69
03/2003,17.7,8.05,12.88
04/2003,18.38,8.62,13.5
05/2003,24.42,11.39,17.91
06/2003,28.49,14.99,21.74
07/2003,28.47,15.04,21.75
08/2003,32.23,17.96,25.09
09/2003,28.3,15.29,21.8
10/2003,19.69,10.88,15.29
11/2003,15.88,8.45,12.16
12/2003,12.94,5.46,9.2
01/2004,14.28,6.2,10.24
02/2004,14.97,5.58,10.28
03/2004,16.36,6,11.18
04/2004,19.63,7.64,13.63
05/2004,21.83,10.78,16.3
06/2004,30.14,16.36,23.25
07/2004,30.52,16.09,23.3
08/2004,28.72,15.96,22.34
09/2004,27.97,14.45,21.21
10/2004,21.42,11.74,16.58
11/2004,16.5,6.52,11.51
12/2004,13.4,4.4,8.9
01/2005,13.22,2.15,7.69
02/2005,13.63,1.37,7.5
03/2005,17.47,6.37,11.92
04/2005,19.97,8.78,14.38
05/2005,23.65,11.41,17.53
06/2005,29.72,15.89,22.8
07/2005,30.17,16.3,23.23
08/2005,31.73,16.74,24.23
09/2005,27.58,13.74,20.66
10/2005,22.41,12.35,17.38
11/2005,15.5,6.62,11.06
12/2005,13.49,4.41,8.95
01/2006,12.16,3.14,7.65
02/2006,13.82,3.61,8.71
03/2006,16.14,7.64,11.89
04/2006,20.1,9.83,14.96
05/2006,24.55,11.66,18.11
06/2006,27.08,15.04,21.06
07/2006,30.46,17.17,23.82
08/2006,30.14,16.71,23.43
09/2006,27.07,15.24,21.16
10/2006,22.26,13.95,18.11
11/2006,18.16,11.14,14.65
12/2006,13.39,4.63,9.01
01/2007,13.24,4.55,8.9
02/2007,14.62,6.85,10.74
03/2007,16.96,6.28,11.62
04/2007,19.56,8.63,14.1
05/2007,21.97,11.12,16.55
06/2007,24.4,13.16,18.78
07/2007,28.38,14.77,21.58
08/2007,28.54,14.99,21.77
09/2007,27.47,14.67,21.07
10/2007,22.59,10.91,16.75
11/2007,18.13,5.7,11.92
12/2007,13.74,4.2,8.97
01/2008,14.7,5.98,10.34
02/2008,16.51,7.12,11.82
03/2008,16.6,6.52,11.56
04/2008,19.45,9.21,14.33
05/2008,19.46,10.63,15.05
06/2008,26.9,13.64,20.27
07/2008,27.74,14.67,21.2
08/2008,28.09,14.7,21.39
09/2008,25.53,13.52,19.52
10/2008,21.4,10.26,15.83
11/2008,15.2,4.7,9.95
12/2008,12.5,4.39,8.45
01/2009,11.4,4.6,8
02/2009,15,4.3,9.65
03/2009,19.91,7.25,13.58
04/2009,17.6,6.6,12.1
05/2009,23.53,10.63,17.08
06/2009,27.01,14.9,20.96
07/2009,28.18,14.38,21.28
08/2009,30.4,15.8,23.1
09/2009,27.9,14.02,20.96
10/2009,23.99,12.88,18.43
11/2009,16.9,9.5,13.2
12/2009,13.3,5.58,9.44
01/2010,12.1,5.5,8.8
02/2010,12.73,5.03,8.88
03/2010,15.46,6.58,11.02
04/2010,20.49,9.58,15.04
05/2010,21.64,10.34,15.99
06/2010,26.2,13.9,20.05
07/2010,31.75,16.66,24.2
08/2010,31.8,17.04,24.42
09/2010,27.49,14.25,20.87
10/2010,21.1,10.15,15.63
11/2010,15.42,7,11.21
12/2010,12.67,5.18,8.93
01/2011,12.84,5.41,9.13
02/2011,15.24,4.77,10
03/2011,16.17,6.72,11.45
04/2011,23.08,11.12,17.1
05/2011,24.86,13.13,19
06/2011,26.93,13.12,20.02
07/2011,28.5,14.6,21.55
08/2011,28.91,15.56,22.23
09/2011,27.51,14.13,20.82
10/2011,25.96,11.86,18.91
11/2011,16.61,8.08,12.34
12/2011,13.93,4.6,9.27
01/2012,14.01,2.98,8.49
02/2012,14.32,0.86,7.59
03/2012,19.83,6.39,13.11
04/2012,16.36,7.56,11.96
05/2012,23.24,11.78,17.51
06/2012,26.6,14.03,20.32
07/2012,28.73,14.39,21.56
08/2012,29.04,14.98,22.01
09/2012,28.03,14.76,21.39
10/2012,21.33,11.06,16.2
11/2012,15.7,7.35,11.52
12/2012,13.92,6.07,10
01/2013,13.43,5.69,9.56
02/2013,13.66,4.04,8.85
03/2013,14.79,7.53,11.16
04/2013,18.88,8.03,13.45
05/2013,20.94,8.84,14.89
06/2013,25.86,12.66,19.26
07/2013,30.6,16.21,23.41
08/2013,30.95,15.84,23.39
09/2013,28.58,14.91,21.74
10/2013,22.3,12.87,17.59
11/2013,16.62,6.89,11.75
12/2013,14.62,4.68,9.65
01/2014,13.94,7.59,10.77
02/2014,14.02,6.46,10.24
03/2014,17.65,7.21,12.43
04/2014,19.98,10.28,15.13
05/2014,23.36,10.6,16.98
06/2014,25.79,13.16,19.48
07/2014,28.05,15.02,21.54
08/2014,28.31,14.75,21.53
09/2014,26.27,15.2,20.73
10/2014,24.26,13.62,18.94
11/2014,16.98,9.45,13.21
12/2014,13.51,3.65,8.58
01/2015,13.62,2.87,8.25
02/2015,13.15,4.31,8.73
03/2015,18.24,6.13,12.18
04/2015,20.9,9.26,15.08
05/2015,25.46,11.88,18.67
06/2015,29,14.7,21.85
07/2015,30.35,15.93,23.14
08/2015,29.27,15.41,22.34
09/2015,25.89,12.73,19.31
10/2015,21.57,12.54,17.05
11/2015,18.58,8.26,13.42
12/2015,16.21,7.4,11.8
01/2016,14.5,7.07,10.79
02/2016,14.27,5.95,10.11
03/2016,15.69,5.26,10.47
04/2016,17.88,8.23,13.05
05/2016,20.85,10.72,15.79
06/2016,27.29,13.85,20.57
07/2016,32.19,16.46,24.32
08/2016,32.23,16.16,24.2
09/2016,28.96,14.07,21.52
10/2016,23.31,11.91,17.61
11/2016,16.99,7.23,12.11
12/2016,15.26,5.55,10.41
01/2017,13.54,2.98,8.26
02/2017,15.79,6.32,11.05
03/2017,17.89,6.83,12.36
04/2017,23.27,8.91,16.09
05/2017,24.96,11.99,18.48
06/2017,29.57,15.1,22.34
07/2017,30.22,15.26,22.74
08/2017,30.86,15.19,23.02
09/2017,27.49,12.42,19.95
10/2017,27.11,12.03,19.57
11/2017,18.81,6.86,12.84
12/2017,14.34,4.23,9.29
01/2018,13.79,4.3,9.04
02/2018,13.96,3.15,8.55
03/2018,14.39,6.18,10.29
04/2018,18.47,7.97,13.22
05/2018,21.89,10.25,16.07
06/2018,25.17,13.88,19.53
07/2018,27.25,15.05,21.15
08/2018,32.41,16.6,24.5
09/2018,30.21,15.79,23
10/2018,22.61,10.67,16.64
11/2018,15.83,7.91,11.87
12/2018,15.21,5.96,10.59
01/2019,13.96,3.31,8.63
02/2019,16.79,4.46,10.63
03/2019,19.46,6.12,12.79
04/2019,18.35,7.64,13
05/2019,25.1,11.12,18.11
06/2019,24.73,11.66,18.2
07/2019,29,15.38,22.19
08/2019,29.7,15.36,22.53
09/2019,28,13.9,20.95
10/2019,22.42,11.08,16.75
11/2019,15.71,8.53,12.12
12/2019,15.22,6.76,10.99
01/2020,13.91,5.26,9.59
02/2020,17.89,6.96,12.43
03/2020,17.71,6.94,12.32
04/2020,18.56,9.26,13.91
05/2020,25.4,12.6,19
06/2020,25.94,12.88,19.41
07/2020,33.34,16.83,25.09
08/2020,30,15.53,22.77
09/2020,28.23,14.44,21.34
10/2020,20.84,9.88,15.36
