date,tmax,tmin,tmed
08/1946,27.4,14.67,21.04
09/1946,25.63,13.61,19.62
10/1946,21.41,12.23,16.82
11/1946,16.37,7.86,12.12
12/1946,12.43,4.78,8.61
01/1947,11.63,4.03,7.83
02/1947,12.32,6.25,9.29
03/1947,15,8.23,11.62
04/1947,21.1,9.19,15.14
05/1947,20.62,10.13,15.38
06/1947,26.02,13.55,19.79
07/1947,28.96,15.41,22.19
08/1947,28.48,16.02,22.25
09/1947,26,14.44,20.22
10/1947,22.75,12.66,17.7
11/1947,19.79,9.07,14.43
12/1947,13.13,4.31,8.72
01/1948,13.65,6.55,10.1
02/1948,15.47,6.59,11.03
03/1948,19.84,9.17,14.5
04/1948,17.98,8.52,13.25
05/1948,19.62,10.57,15.1
06/1948,26.75,13.81,20.28
07/1948,28.62,14.63,21.63
08/1948,28.05,15.27,21.66
09/1948,28.21,14.82,21.52
10/1948,22.73,11.95,17.34
11/1948,19.58,9.28,14.43
12/1948,14.69,7.3,10.99
01/1949,13.97,4.07,9.02
02/1949,16.59,5.37,10.98
03/1949,17.02,6.57,11.79
04/1949,22.17,10.5,16.34
05/1949,21.47,10.3,15.88
06/1949,26.87,14.25,20.56
07/1949,30.57,17.02,23.8
08/1949,31.55,17.39,24.47
09/1949,24.56,15.2,19.88
10/1949,22.38,12.21,17.3
11/1949,16.89,8.31,12.6
12/1949,13.05,5.96,9.51
01/1950,12.7,3.62,8.16
02/1950,14.53,5.63,10.08
03/1950,17.25,7.38,12.32
04/1950,19.52,7.78,13.65
05/1950,20.82,10.82,15.82
06/1950,25.4,14.1,19.75
07/1950,28.81,15.99,22.4
08/1950,27.95,14.5,21.23
09/1950,26.18,13.39,19.79
10/1950,22.19,11.84,17.02
11/1950,17.7,9.59,13.64
12/1950,11.6,4.12,7.86
01/1951,12.27,4.92,8.59
02/1951,11.71,4.88,8.29
03/1951,15.5,6.55,11.02
04/1951,18.5,8,13.25
05/1951,18.21,8.55,13.38
06/1951,25.55,13.28,19.41
07/1951,27.84,15.52,21.68
08/1951,26.84,14.2,20.52
09/1951,26.1,13.9,20
10/1951,20.14,9.88,15.01
11/1951,14.89,8.18,11.54
12/1951,13.75,6.15,9.95
01/1952,10.96,2.44,6.7
02/1952,13.91,4.43,9.17
03/1952,17.66,8.54,13.1
04/1952,18,8.22,13.11
05/1952,21.14,11.57,16.36
06/1952,25.55,14.53,20.04
07/1952,28.29,15.44,21.86
08/1952,26.67,14.37,20.52
09/1952,23.84,11.88,17.86
10/1952,20.88,11.4,16.14
11/1952,16.93,7.22,12.07
12/1952,13.29,5.63,9.46
01/1953,12.09,3.43,7.76
02/1953,13.33,3.75,8.54
03/1953,17.35,5.8,11.57
04/1953,17.9,8.24,13.07
05/1953,24.47,11.93,18.2
06/1953,24.25,12.83,18.54
07/1953,28.25,15,21.63
08/1953,30.63,16.42,23.52
09/1953,26.56,14.61,20.59
10/1953,20.39,10.67,15.53
11/1953,17.67,8.7,13.19
12/1953,14.87,7.66,11.27
01/1954,10.95,2.34,6.64
02/1954,12.16,3.66,7.91
03/1954,14.51,6.5,10.5
04/1954,18.1,7.37,12.73
05/1954,22.24,10.53,16.38
06/1954,24.03,12.37,18.2
07/1954,29.05,14.74,21.89
08/1954,26.45,14.06,20.25
09/1954,25.99,13.28,19.63
10/1954,23.97,12.38,18.18
11/1954,17.16,9.67,13.41
12/1954,13.63,5.13,9.38
01/1955,13.98,8.58,11.28
02/1955,13.31,5.95,9.63
03/1955,14.82,6.21,10.52
04/1955,21.39,9.84,15.62
05/1955,23.45,11.97,17.71
06/1955,25.54,13.87,19.7
07/1955,27.94,15.15,21.55
08/1955,29.4,16.17,22.79
09/1955,27.27,14.6,20.93
10/1955,22.12,11.2,16.66
11/1955,15.88,8.84,12.36
12/1955,14.87,7.32,11.09
01/1956,12.92,5.46,9.19
02/1956,9.84,0.53,5.19
03/1956,15.18,6.5,10.84
04/1956,16.61,8.52,12.56
05/1956,22.2,11.13,16.66
06/1956,25.61,13.34,19.48
07/1956,27.22,14.36,20.79
08/1956,26.11,14.22,20.16
09/1956,23.7,12.72,18.21
10/1956,21.43,11.54,16.48
11/1956,14.69,4.53,9.61
12/1956,12.46,2.7,7.58
01/1957,11.52,2.29,6.91
02/1957,14.12,6.77,10.45
03/1957,17.66,9.01,13.34
04/1957,18.36,7.5,12.93
05/1957,20.89,10.17,15.53
06/1957,24.35,12.67,18.51
07/1957,29.32,15.67,22.5
08/1957,29.3,15.74,22.52
09/1957,27.18,14.96,21.07
10/1957,21.75,10.07,15.91
11/1957,15.81,6.6,11.21
12/1957,11.63,2.81,7.22
01/1958,12.56,4.69,8.63
02/1958,15.2,6.94,11.07
03/1958,15.21,6.7,10.96
04/1958,18.65,7.44,13.04
05/1958,21.97,10.88,16.43
06/1958,23.5,12.65,18.07
07/1958,27.48,14.2,20.84
08/1958,27.37,14.92,21.14
09/1958,26.14,14.45,20.3
10/1958,22.06,11.02,16.54
11/1958,17.04,6.53,11.79
12/1958,13.35,6.87,10.11
01/1959,13.46,6.82,10.14
02/1959,13.98,4.32,9.15
03/1959,14.81,7.69,11.25
04/1959,17.54,8.55,13.04
05/1959,20.73,10.9,15.82
06/1959,25.27,13.5,19.38
07/1959,29.49,16.2,22.84
08/1959,28.52,15.63,22.07
09/1959,24.84,14.44,19.64
10/1959,20.52,11.17,15.84
11/1959,15.59,7.33,11.46
12/1959,12.85,6.36,9.61
01/1960,12.46,5.01,8.73
02/1960,13.48,6.19,9.84
03/1960,15.74,7.42,11.58
04/1960,19.64,8.82,14.23
05/1960,21.66,11.45,16.55
06/1960,26.58,14.46,20.52
07/1960,27.85,14.62,21.23
08/1960,26.62,13.72,20.17
09/1960,25.67,13.41,19.54
10/1960,18.09,10.22,14.16
11/1960,15.42,8.85,12.13
12/1960,11.74,4.32,8.03
01/1961,11.49,3.95,7.72
02/1961,16.76,6.78,11.77
03/1961,20.23,8.01,14.12
04/1961,18.25,8.87,13.56
05/1961,23.75,12.28,18.02
06/1961,25.9,14.3,20.1
07/1961,28.94,15.84,22.39
08/1961,31.2,16.31,23.75
09/1961,26.23,14.38,20.3
10/1961,19.89,10.84,15.37
11/1961,15.32,7.73,11.53
12/1961,14.15,7.41,10.78
01/1962,13.16,4.93,9.04
02/1962,14.42,3.46,8.94
03/1962,14.6,7.31,10.96
04/1962,18.52,8.56,13.54
05/1962,22.13,10.31,16.22
06/1962,27.18,14.26,20.72
07/1962,27.99,14.47,21.23
08/1962,29.79,15.23,22.51
09/1962,26.92,14.68,20.8
10/1962,22.74,13.26,18
11/1962,14.12,5.83,9.97
12/1962,12.19,4.11,8.15
01/1963,11.86,5.72,8.79
02/1963,11.24,4.6,7.92
03/1963,14.75,6.99,10.87
04/1963,17.97,8.14,13.05
05/1963,22.41,10.42,16.41
06/1963,23.91,13.02,18.46
07/1963,28.84,15.19,22.02
08/1963,27.36,14.04,20.7
09/1963,25.08,13.01,19.04
10/1963,24.49,11.58,18.04
11/1963,15.71,9.4,12.55
12/1963,11.75,5.19,8.47
01/1964,12.86,4.23,8.54
02/1964,14.14,5.9,10.02
03/1964,14.42,6.8,10.61
04/1964,18.08,7.35,12.71
05/1964,24.72,12.2,18.46
06/1964,25.71,14.21,19.96
07/1964,28.43,15.56,22
08/1964,29.5,15.66,22.58
09/1964,28.25,16.05,22.15
10/1964,21.16,10.32,15.74
11/1964,16.83,6.44,11.63
12/1964,11.8,2.56,7.18
01/1965,12.18,3.74,7.96
02/1965,12.3,3.19,7.75
03/1965,15.82,7.77,11.79
04/1965,19.5,8.31,13.91
05/1965,24.85,11.48,18.16
06/1965,26.64,13.91,20.27
07/1965,26.59,13.42,20
08/1965,29.5,15.01,22.25
09/1965,23.82,12.25,18.04
10/1965,20.03,12.92,16.48
11/1965,14.76,7.83,11.29
12/1965,13.02,6.36,9.69
01/1966,14.04,8.47,11.25
02/1966,14.22,7.82,11.02
03/1966,17.45,5.5,11.47
04/1966,17.63,9.1,13.36
05/1966,23.59,11.29,17.44
06/1966,24.62,13.25,18.94
07/1966,28.33,15.18,21.75
08/1966,28.28,14.58,21.43
09/1966,28.08,15.09,21.59
10/1966,18.76,10.82,14.79
11/1966,13.83,4.8,9.32
12/1966,13.28,4.1,8.69
01/1967,12.52,3.58,8.05
02/1967,14.35,5.26,9.8
03/1967,18.24,7.56,12.9
04/1967,18.59,7.65,13.12
05/1967,19.22,9.04,14.13
06/1967,26.06,13.25,19.66
07/1967,28.72,14.9,21.81
08/1967,28.17,14.61,21.39
09/1967,25.31,13.55,19.43
10/1967,22.16,11.81,16.98
11/1967,15.43,7.7,11.56
12/1967,12.34,3.21,7.77
01/1968,14.1,3.26,8.68
02/1968,13.27,5.94,9.61
03/1968,15.13,6.3,10.71
04/1968,16.92,7.79,12.36
05/1968,21.39,10.2,15.79
06/1968,26.57,13.27,19.92
07/1968,28.64,14.9,21.77
08/1968,28.3,15.39,21.84
09/1968,24.57,13.51,19.04
10/1968,24.18,12.67,18.43
11/1968,16.74,9.07,12.9
12/1968,13.05,5.68,9.37
01/1969,13.21,5.95,9.58
02/1969,12.06,4.58,8.32
03/1969,14.8,6.84,10.82
04/1969,17.5,7.81,12.66
05/1969,19.47,9.9,14.68
06/1969,23.81,12.73,18.27
07/1969,30.84,16.24,23.54
08/1969,29.31,15.32,22.31
09/1969,22.71,12.62,17.66
10/1969,21.67,12.26,16.96
11/1969,15.05,6,10.53
12/1969,12.26,3.4,7.83
01/1970,12.97,6.96,9.96
02/1970,13.94,4.38,9.16
03/1970,14.95,4.05,9.5
04/1970,19.06,6.81,12.93
05/1970,22.17,10.83,16.5
06/1970,23.45,12.99,18.22
07/1970,28.95,15.42,22.18
08/1970,27.25,14.21,20.73
09/1970,28.21,14.37,21.29
10/1970,23.02,9.28,16.15
11/1970,18.94,9.12,14.03
12/1970,10.91,1.55,6.23
01/1971,11.75,4.25,8
02/1971,15.36,4.57,9.96
03/1971,14.19,4.53,9.36
04/1971,16.47,8.09,12.28
05/1971,17.9,9.51,13.7
06/1971,22.32,11.94,17.13
07/1971,27.42,15.77,21.59
08/1971,25.87,13.66,19.77
09/1971,26.64,13.49,20.07
10/1971,24.53,12.42,18.48
11/1971,15.77,4.69,10.23
12/1971,13.73,4.59,9.16
01/1972,11.22,3.35,7.29
02/1972,12.67,5.52,9.09
03/1972,14.13,5.96,10.05
04/1972,18.56,7.4,12.98
