year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring,Summer,Autumn,Annual,Winter
1977,213.7,240.1,58.2,39.1,40.6,60,17,17.2,22.6,147.2,90.3,245.8,137.9,94.2,260.1,1191.8,645.7
1978,102.9,240.5,92.7,98.7,73,36.9,0.6,0.2,15.6,50.7,57.6,399.7,264.4,37.7,123.9,1169.1,589.2
1979,163.8,284.9,144.7,94.7,46.3,9.5,20.2,1.1,13.1,237.4,43.9,75.3,285.7,30.8,294.4,1134.9,848.4
1980,74.3,73,92.3,56.6,77,26,9.5,13.6,21.6,60.8,97.7,23.8,225.9,49.1,180.1,626.2,222.6
1981,3.1,53.8,92.6,83.1,72.4,17.3,4.7,4.2,60.2,76.2,0.9,312.1,248.1,26.2,137.3,780.6,80.7
1982,86.2,75.7,22.2,43.1,38.3,25.1,11.7,14.1,87.4,49.4,133.8,88.5,103.6,50.9,270.6,675.5,474
1983,8.2,86.9,10.4,169.2,99.7,22.9,13.3,22,9.5,49.9,250.1,155.7,279.3,58.2,309.5,897.8,183.6
1984,94.6,23,114.4,80.2,82.7,59.1,7.1,13.5,16.1,107.7,222.4,92.9,277.3,79.7,346.2,913.7,273.3
1985,179.9,180.6,59.5,112.8,52.7,30.9,9.5,1.4,5.1,9,134.3,157.3,225,41.8,148.4,933,453.4
1986,110.1,187,38.8,74,23.8,15.5,0.3,9.1,106.5,45.9,82.4,61.6,136.6,24.9,234.8,755,454.4
1987,137.1,134.2,49.8,104.2,10.7,18.3,20.2,24.2,72.2,204.1,57.8,187.3,164.7,62.7,334.1,1020.1,332.9
1988,186.5,75.8,10,85.8,102.3,118.5,45.3,0.3,7,118,107.2,18.9,198.1,164.1,232.2,875.6,449.6
1989,40.5,90.5,49,102.5,77.2,19.5,2,13.7,18.9,115.9,242.1,344.8,228.7,35.2,376.9,1116.6,149.9
1990,104.2,42.1,29.6,90.5,23.3,8.9,5.9,13.1,25.6,200.9,87.7,64,143.4,27.9,314.2,695.8,491.1
1991,93.5,125.8,161.9,38.7,5.9,17.4,9.4,9.5,42.4,78.6,93.6,54.3,206.5,36.3,214.6,731,283.3
1992,57.9,29.8,33.1,70.2,55.5,38.8,3.5,35.8,39.5,92.2,33,166.9,158.8,78.1,164.7,656.2,142
1993,39,28.5,39.8,101.2,132.1,28.8,2,6.1,89.8,231.8,137.8,34.5,273.1,36.9,459.4,871.4,234.4
1994,145.2,130.6,11.1,43.2,160.2,6.3,3.1,14,22.8,89.6,117.7,81,214.5,23.4,230.1,824.8,310.3
1995,144.1,92.8,31.3,30.5,51.4,21.7,15.2,1.7,39.5,52.7,191.2,284.7,113.2,38.6,283.4,956.8,317.9
1996,321.3,95.5,79.4,44.9,119.1,2.8,5.9,6.2,47.6,51.4,84.5,228.8,243.4,14.9,183.5,1087.4,701.5
1997,137.3,10.8,0.2,46.9,103.2,55.5,21.3,31.1,20.9,122.1,312.2,173.9,150.3,107.9,455.2,1035.4,376.9
1998,82.1,61.9,32.1,114.9,74.7,31.2,8,2.9,86.2,24.2,39.4,54.4,221.7,42.1,149.8,612,317.9
1999,78.5,17.1,74.1,67,68.3,6.3,8.9,32.8,114.7,174.1,31.7,91.5,209.4,48,320.5,765,150
2000,31.6,21.9,28.5,208.1,127.3,5.1,58.2,40,28.2,61.1,170.3,311.5,363.9,103.3,259.6,1091.8,145
2001,254.2,106.1,273.8,25.5,72.7,6.6,19.3,11.4,44.7,147.6,20,37.3,372,37.3,212.3,1019.2,671.8
2002,90.9,40.6,106.4,49.6,38.8,16.7,5.9,9,105.1,128.3,181.6,184.2,194.8,31.6,415,957.1,168.8
2003,169.3,87.2,68.7,111,7.3,19.1,12.8,19.8,13.7,192.5,136.5,93.7,187,51.7,342.7,931.6,440.7
2004,72.4,51.1,48.4,40.2,36.2,4.2,1.4,41,17.4,164.4,21,44.2,124.8,46.6,202.8,541.9,217.2
2005,7.2,19.7,56.4,32.1,32.1,6.8,8.9,2.7,15.3,150.1,95.1,76.7,120.6,18.4,260.5,503.1,71.1
2006,43.79,67.78,126.62,58,6.08,39.5,10.4,22.7,68,207.5,213.38,74.9,190.7,72.6,488.88,938.65,188.27
2007,24.1,116.9,33.8,46.8,56.5,56.8,13.2,15.6,33.6,33.2,55.6,37.7,137.1,85.6,122.4,523.8,215.9
2008,96.6,64.5,36.1,138.7,76.4,13.1,5.6,9.4,42.1,43.1,34.63,82.5,251.2,28.1,119.83,642.73,198.8
2009,140.1,72,20.9,46.8,28.6,43.2,15.4,4.9,8.3,91,122.8,233.4,96.3,63.5,222.1,827.4,294.6
2010,146.7,170.8,128.1,77.1,36.3,33.9,1.3,1.24,10.6,151.3,111.3,194.5,241.5,36.44,273.2,1063.14,550.9
2011,102.6,96.9,71.8,74.8,67.2,6,2.9,15.4,28.6,84.8,158.3,41.2,213.8,24.3,271.7,750.5,394
2012,20.4,2.2,20.8,76.6,73.2,14,4.5,14.4,43.7,103.7,143,119,170.6,32.9,290.4,635.5,63.8
2013,146.7,63.7,229.1,67.2,29.6,15.7,7,1.5,58,163.4,20.8,136.8,325.9,24.2,242.2,939.5,329.4
2014,161.6,209.7,54.3,93.4,43.9,26.1,23.3,7.9,112.6,119.5,217.4,28.5,191.6,57.3,449.5,1098.2,508.1
2015,83,37.2,17.6,59.4,41.1,20.5,3.5,6.8,54.8,147.1,53.6,75,118.1,30.8,255.5,599.6,148.7
2016,189,150,67,136.5,142.9,12.2,3.1,4.5,24.3,75.4,120.12,66.58,346.4,19.8,219.82,991.6,414
2017,62.4,113.5,80.9,11.5,66.2,9.6,5.3,8.2,2,26.9,56.9,97.9,158.6,23.1,85.8,541.3,242.48
2018,76.5,65.6,272.1,118.5,38.5,48.5,7.8,1.8,8.1,70.4,178,54,429.1,58.1,256.5,939.8,240
2019,57.3,34.4,45.3,117.2,13.3,23.8,5.9,16.2,19.8,79.3,160.8,182.3,175.8,45.9,259.9,755.6,145.7
2020,76,16.6,71.9,117.1,51.2,8.6,4.2,13.9,36.2,117.9,109.4,123.8,240.2,26.7,263.5,746.8,274.9
